date,currency,rate,yr,qtr,mth,wk,dte
2016-12-21,SAUDI RIYAL,27.2739,2016,4,12,51,21
2016-12-21,CHINESE YUAN,14.7186,2016,4,12,51,21
2016-12-21,AUSTRALIAN DOLLAR,73.9846,2016,4,12,51,21
2016-12-22,US DOLLAR,102.3472,2016,4,12,51,22
2016-12-22,STG POUND,126.6833,2016,4,12,51,22
2016-12-22,EURO,106.7417,2016,4,12,51,22
2016-12-22,SA RAND,7.3236,2016,4,12,51,22
2016-12-22,KSH/USHS,34.8325,2016,4,12,51,22
2016-12-22,KSH/TSHS,21.2806,2016,4,12,51,22
2016-12-22,KSH/RWF,7.9593,2016,4,12,51,22
2016-12-22,KSH/BIF,16.3625,2016,4,12,51,22
2016-12-22,AE DIRHAM,27.8674,2016,4,12,51,22
2016-12-22,CANADIAN DOLLAR,76.5614,2016,4,12,51,22
2016-12-22,S FRANC,99.8802,2016,4,12,51,22
2016-12-22,JPY(100),87.3009,2016,4,12,51,22
2016-12-22,SW KRONER,11.0642,2016,4,12,51,22
2016-12-22,NOR KRONER,11.8267,2016,4,12,51,22
2016-12-22,DAN KRONER,14.3595,2016,4,12,51,22
2016-12-22,IND RUPEE,1.5087,2016,4,12,51,22
2016-12-22,HONGKONG DOLLAR,13.1887,2016,4,12,51,22
2016-12-22,SINGAPORE DOLLAR,70.9587,2016,4,12,51,22
2016-12-22,SAUDI RIYAL,27.286,2016,4,12,51,22
2016-12-22,CHINESE YUAN,14.7398,2016,4,12,51,22
2016-12-22,AUSTRALIAN DOLLAR,74.4065,2016,4,12,51,22
2016-12-23,US DOLLAR,102.3578,2016,4,12,52,23
2016-12-23,STG POUND,126.275,2016,4,12,52,23
2016-12-23,EURO,106.9081,2016,4,12,52,23
2016-12-23,SA RAND,7.279,2016,4,12,52,23
2016-12-23,KSH/USHS,34.9266,2016,4,12,52,23
2016-12-23,KSH/TSHS,21.2784,2016,4,12,52,23
2016-12-23,KSH/RWF,8.1413,2016,4,12,52,23
2016-12-23,KSH/BIF,16.3624,2016,4,12,52,23
2016-12-23,AE DIRHAM,27.8699,2016,4,12,52,23
2016-12-23,CANADIAN DOLLAR,75.8768,2016,4,12,52,23
2016-12-23,S FRANC,99.798,2016,4,12,52,23
2016-12-23,JPY(100),86.8801,2016,4,12,52,23
2016-12-23,SW KRONER,11.1284,2016,4,12,52,23
2016-12-23,NOR KRONER,11.7439,2016,4,12,52,23
2016-12-23,DAN KRONER,14.3768,2016,4,12,52,23
2016-12-23,IND RUPEE,1.5056,2016,4,12,52,23
2016-12-23,HONGKONG DOLLAR,13.1858,2016,4,12,52,23
2016-12-23,SINGAPORE DOLLAR,70.6232,2016,4,12,52,23
2016-12-23,SAUDI RIYAL,27.2889,2016,4,12,52,23
2016-12-23,CHINESE YUAN,14.7291,2016,4,12,52,23
2016-12-23,AUSTRALIAN DOLLAR,73.8153,2016,4,12,52,23
2016-12-28,US DOLLAR,102.3589,2016,4,12,52,28
2016-12-28,STG POUND,125.3358,2016,4,12,52,28
2016-12-28,EURO,106.9011,2016,4,12,52,28
2016-12-28,SA RAND,7.3023,2016,4,12,52,28
2016-12-28,KSH/USHS,34.9262,2016,4,12,52,28
2016-12-28,KSH/TSHS,21.2781,2016,4,12,52,28
2016-12-28,KSH/RWF,8.1418,2016,4,12,52,28
2016-12-28,KSH/BIF,16.3622,2016,4,12,52,28
2016-12-28,AE DIRHAM,27.8706,2016,4,12,52,28
2016-12-28,CANADIAN DOLLAR,75.5723,2016,4,12,52,28
2016-12-28,S FRANC,99.7747,2016,4,12,52,28
2016-12-28,JPY(100),87.2588,2016,4,12,52,28
2016-12-28,SW KRONER,11.0879,2016,4,12,52,28
2016-12-28,NOR KRONER,11.7486,2016,4,12,52,28
2016-12-28,DAN KRONER,14.3792,2016,4,12,52,28
2016-12-28,IND RUPEE,1.5096,2016,4,12,52,28
2016-12-28,HONGKONG DOLLAR,13.1892,2016,4,12,52,28
2016-12-28,SINGAPORE DOLLAR,70.7216,2016,4,12,52,28
2016-12-28,SAUDI RIYAL,27.2884,2016,4,12,52,28
2016-12-28,CHINESE YUAN,14.7369,2016,4,12,52,28
2016-12-28,AUSTRALIAN DOLLAR,73.3709,2016,4,12,52,28
2016-12-29,US DOLLAR,102.4433,2016,4,12,52,29
2016-12-29,STG POUND,125.145,2016,4,12,52,29
2016-12-29,EURO,106.4675,2016,4,12,52,29
2016-12-29,SA RAND,7.3838,2016,4,12,52,29
2016-12-29,KSH/USHS,35.1707,2016,4,12,52,29
2016-12-29,KSH/TSHS,21.2606,2016,4,12,52,29
2016-12-29,KSH/RWF,7.9586,2016,4,12,52,29
2016-12-29,KSH/BIF,16.4663,2016,4,12,52,29
2016-12-29,AE DIRHAM,27.8902,2016,4,12,52,29
2016-12-29,CANADIAN DOLLAR,75.3343,2016,4,12,52,29
2016-12-29,S FRANC,99.4596,2016,4,12,52,29
2016-12-29,JPY(100),87.0266,2016,4,12,52,29
2016-12-29,SW KRONER,11.1123,2016,4,12,52,29
2016-12-29,NOR KRONER,11.7315,2016,4,12,52,29
2016-12-29,DAN KRONER,14.3185,2016,4,12,52,29
2016-12-29,IND RUPEE,1.5012,2016,4,12,52,29
2016-12-29,HONGKONG DOLLAR,13.2045,2016,4,12,52,29
2016-12-29,SINGAPORE DOLLAR,70.4853,2016,4,12,52,29
2016-12-29,SAUDI RIYAL,27.3019,2016,4,12,52,29
2016-12-29,CHINESE YUAN,14.7203,2016,4,12,52,29
2016-12-29,AUSTRALIAN DOLLAR,73.416,2016,4,12,52,29
2016-12-30,US DOLLAR,102.4858,2016,4,12,53,30
2016-12-30,STG POUND,125.4178,2016,4,12,53,30
2016-12-30,EURO,107.0606,2016,4,12,53,30
2016-12-30,SA RAND,7.3869,2016,4,12,53,30
2016-12-30,KSH/USHS,35.2732,2016,4,12,53,30
2016-12-30,KSH/TSHS,21.2518,2016,4,12,53,30
2016-12-30,KSH/RWF,7.9555,2016,4,12,53,30
2016-12-30,KSH/BIF,16.346800000000002,2016,4,12,53,30
2016-12-30,AE DIRHAM,27.9033,2016,4,12,53,30
2016-12-30,CANADIAN DOLLAR,75.3656,2016,4,12,53,30
2016-12-30,S FRANC,99.5008,2016,4,12,53,30
2016-12-30,JPY(100),87.0627,2016,4,12,53,30
2016-12-30,SW KRONER,11.1169,2016,4,12,53,30
2016-12-30,NOR KRONER,11.7364,2016,4,12,53,30
2016-12-30,DAN KRONER,14.4042,2016,4,12,53,30
2016-12-30,IND RUPEE,1.5018,2016,4,12,53,30
2016-12-30,HONGKONG DOLLAR,13.2146,2016,4,12,53,30
2016-12-30,SINGAPORE DOLLAR,70.6799,2016,4,12,53,30
2016-12-30,SAUDI RIYAL,27.3237,2016,4,12,53,30
2016-12-30,CHINESE YUAN,14.7324,2016,4,12,53,30
2016-12-30,AUSTRALIAN DOLLAR,73.8359,2016,4,12,53,30
2017-01-03,US DOLLAR,102.5628,2017,1,1,1,3
2017-01-03,STG POUND,126.5178,2017,1,1,1,3
2017-01-03,EURO,108.1692,2017,1,1,1,3
2017-01-03,SA RAND,7.4853,2017,1,1,1,3
2017-01-03,KSH/USHS,35.198,2017,1,1,1,3
2017-01-03,KSH/TSHS,21.2846,2017,1,1,1,3
2017-01-03,KSH/RWF,8.127,2017,1,1,1,3
2017-01-03,KSH/BIF,16.3345,2017,1,1,1,3
2017-01-03,AE DIRHAM,27.9242,2017,1,1,1,3
2017-01-03,CANADIAN DOLLAR,76.2294,2017,1,1,1,3
2017-01-03,S FRANC,100.8087,2017,1,1,1,3
2017-01-03,JPY(100),87.6867,2017,1,1,1,3
2017-01-03,SW KRONER,11.3245,2017,1,1,1,3
2017-01-03,NOR KRONER,11.9033,2017,1,1,1,3
2017-01-03,DAN KRONER,14.55,2017,1,1,1,3
2017-01-03,IND RUPEE,1.5106,2017,1,1,1,3
2017-01-03,HONGKONG DOLLAR,13.2259,2017,1,1,1,3
2017-01-03,SINGAPORE DOLLAR,70.9434,2017,1,1,1,3
2017-01-03,SAUDI RIYAL,27.337,2017,1,1,1,3
2017-01-03,CHINESE YUAN,14.7689,2017,1,1,1,3
2017-01-03,AUSTRALIAN DOLLAR,74.1016,2017,1,1,1,3
2017-01-04,US DOLLAR,102.8128,2017,1,1,1,4
2017-01-04,STG POUND,126.2164,2017,1,1,1,4
2017-01-04,EURO,106.7778,2017,1,1,1,4
